gini-coefficient,variance,maxsum,maxmin,envy_pairs,resource usages
0.0,0.0,0.0375,0.0375,0,0.01,0.0375
0.0714285714286,3.90625e-05,0.0875,0.0375,0,0.02,0.0875
0.0756501182033,6.97916666667e-05,0.17625,0.05,0,0.095,0.14375
0.0732044198895,6.669921875e-05,0.22625,0.05,0,0.105,0.19375
0.0669683257919,6.025e-05,0.27625,0.05,0,0.155,0.24375
0.0870818915802,8.98003472222e-05,0.36125,0.05,0,0.24,0.2875
0.0812660393499,7.88903061224e-05,0.4175,0.05,0,0.285,0.34375
0.081550802139,7.919921875e-05,0.4675,0.05,0,0.315,0.39375
0.0854320987654,9.13194444444e-05,0.5625,0.05,0,0.4,0.43125
0.0624535315985,6.025e-05,0.6725,0.05625,0,0.47,0.49375
0.0661157024793,6.47727272727e-05,0.72875,0.05625,0,0.485,0.55
0.0582573454914,5.85503472222e-05,0.8225,0.05625,0,0.575,0.5875
0.0703107780472,7.84578402367e-05,0.8725,0.05,0,0.585,0.6375
0.0503932687031,4.9147002551e-05,0.97625,0.05625,0,0.655,0.69375
0.0566585956416,5.71805555556e-05,1.0325,0.05625,0,0.67,0.75
0.066974595843,7.43896484375e-05,1.0825,0.05,0,0.7,0.8
0.0535781191457,5.25843425606e-05,1.1775,0.05625,0,0.785,0.8375
0.0558922558923,5.41666666667e-05,1.2375,0.05625,0,0.845,0.8875
0.0544360902256,5.32635041551e-05,1.3125,0.05625,0,0.92,0.94375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
0.063119266055,6.7890625e-05,1.3625,0.05,0,0.96,0.99375
